WHO Country Name,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Luxembourg,2015,11.355,19.685000000000002,26.5
Luxembourg,2016,11.103333333333333,20.113333333333333,24.810000000000002
Luxembourg,2017,9.84,19.83666666666667,24.113333333333333
Luxembourg,2018,9.483333333333333,20.263333333333332,25.596666666666664
Luxembourg,2019,7.986666666666667,16.813333333333336,23.983333333333334
Malaysia,2019,20.966874999999998,29.320625,13.470625
Malta,2010,15.675,38.89,18.935000000000002
Malta,2013,14.57,31.655,20.19
Malta,2014,10.405000000000001,23.78,8.615
Malta,2015,12.879999999999999,28.900000000000002,19.395
Malta,2016,12.51,31.80333333333333,17.91
Malta,2017,11.18,26.935,20.240000000000002
Malta,2018,11.708333333333334,31.53,17.21
Malta,2019,11.693333333333333,29.87,16.063333333333333
Mexico,2010,22.98,56.796666666666674,32.79333333333333
Mexico,2011,26.02333333333333,62.196666666666665,32.60333333333333
Mexico,2012,24.602,51.32000000000001,30.492
Mexico,2013,26.204,50.71,29.222
Mexico,2014,24.186,47.186,28.648000000000003
Mexico,2015,24.966,46.63,27.577999999999996
Mexico,2016,24.8375,49.5625,29.09
Netherlands,2010,17.07125,25.585625,29.660625
Netherlands,2013,14.237407407407408,22.05333333333333,26.222962962962963
Netherlands,2014,13.494482758620691,21.289310344827587,25.86586206896552
Netherlands,2015,12.475909090909092,20.23409090909091,25.576818181818183
Netherlands,2016,10.675357142857143,18.500357142857144,24.91464285714286
Netherlands,2017,11.050689655172413,19.47689655172414,24.610344827586207
Netherlands,2018,12.38576923076923,20.92192307692308,23.815
Netherlands,2019,10.756296296296297,19.135925925925925,22.012592592592593
New Zealand,2014,9.450000000000001,15.933333333333332,15.536666666666667
New Zealand,2015,10.295,16.785,13.254999999999999
New Zealand,2016,9.145,16.785,12.93
New Zealand,2017,10.38,19.55,22.51
Norway,2010,10.549999999999999,21.987142857142857,37.964285714285715
Norway,2013,9.117142857142857,20.277142857142856,31.06
Norway,2014,7.22,15.2975,20.9575
Norway,2015,6.498666666666667,14.569333333333333,21.045333333333335
Norway,2016,6.248823529411765,13.31235294117647,21.33764705882353
Norway,2017,6.045454545454546,12.467272727272727,19.25227272727273
Norway,2018,6.813076923076922,14.281153846153845,19.64846153846154
Norway,2019,6.479259259259259,13.263333333333334,19.713333333333335
Peru,2010,30.57,67.97999999999999,19.1425
Peru,2011,36.0625,62.165,12.775
Peru,2012,30.37,63.96,14.5975
Peru,2013,32.878,52.876,19.479999999999997
Peru,2014,32.988,54.972,19.637999999999998
Peru,2015,27.912,59.774,15.446000000000002
Peru,2017,21.615,65.93,26.875
Poland,2010,29.51875,37.937916666666666,22.755416666666665
Poland,2013,24.085510204081633,31.67081632653061,20.195714285714285
Poland,2014,24.17924528301887,33.23245283018868,19.489056603773587
Poland,2015,22.91618181818182,31.31418181818182,19.304363636363636
Poland,2016,21.98125,29.396250000000002,18.998392857142857
Poland,2017,22.87655172413793,30.105172413793102,18.79637931034483
Poland,2018,22.720175438596492,30.886666666666667,18.530350877192983
Poland,2019,18.20238805970149,24.95238805970149,16.16671641791045
Portugal,2010,8.4325,21.978333333333335,17.5725
Portugal,2013,5.326,15.584,8.556000000000001
Portugal,2014,8.011666666666667,18.150000000000002,11.594999999999999
Portugal,2015,9.657692307692308,20.043846153846154,14.266923076923076
Portugal,2016,6.748181818181819,15.641818181818183,11.542727272727273
Portugal,2017,9.04125,19.8875,16.675
Portugal,2018,7.815714285714286,18.147142857142857,17.78142857142857
Portugal,2019,6.493,16.262999999999998,12.363999999999999
Republic of Korea,2015,26.647058823529413,46.64705882352941,39.36941176470588
Republic of Korea,2016,25.058823529411764,44.94117647058823,37.821176470588235
Republic of Korea,2017,24.235294117647058,43.411764705882355,35.94117647058823
Republic of Korea,2018,22.58823529411765,40.470588235294116,34.17176470588235
Republic of Korea,2019,22.705882352941178,40.23529411764706,32.51294117647059
Republic of Korea,2020,18.41176470588235,32.529411764705884,28.2
Romania,2010,16.279,27.915,27.323
Romania,2013,15.627142857142857,25.58142857142857,25.005714285714287
Romania,2014,19.765,27.22,20.235
Romania,2015,20.075,37.205,33.73
Romania,2016,15.0,23.2,22.8
Romania,2017,19.143333333333334,27.763333333333335,26.0175
Romania,2018,18.400000000000002,28.797272727272727,29.66909090909091
Singapore,2014,18.0,30.0,24.0
Singapore,2018,15.0,29.0,26.0
Slovakia,2010,25.08,39.913333333333334,26.703333333333333
Slovakia,2014,18.18,26.615000000000002,18.355
Slovakia,2015,17.42,25.54,24.91
Slovakia,2016,15.9575,24.9725,20.0275
Slovakia,2017,19.48176470588235,27.3,22.615882352941178
Slovakia,2018,18.64294117647059,26.506470588235295,21.364117647058823
Slovakia,2019,16.15529411764706,23.027058823529412,19.850588235294115
Slovenia,2010,18.69666666666667,25.076666666666668,23.566666666666666
Slovenia,2013,17.143333333333334,22.61,20.823333333333334
Slovenia,2014,15.066666666666665,20.133333333333336,19.35
Slovenia,2015,17.643333333333334,22.78333333333333,20.693333333333335
Slovenia,2016,17.383333333333333,21.436666666666667,19.28
Slovenia,2017,16.53,22.03,19.85
Slovenia,2018,15.3675,22.005,18.835
Slovenia,2019,12.452499999999999,19.1425,19.4425
South Africa,2010,38.525000000000006,61.290000000000006,31.380000000000003
South Africa,2012,29.67,64.31333333333333,22.583333333333332
South Africa,2013,23.146,51.134,27.048000000000002
South Africa,2014,21.80333333333333,44.07666666666666,24.618333333333336
South Africa,2015,17.740000000000002,37.558571428571426,25.06714285714286
South Africa,2016,24.531666666666666,44.81333333333333,35.111666666666665
South Africa,2017,14.92,36.05,15.19
South Africa,2018,21.124285714285715,45.862857142857145,20.198571428571427
South Africa,2019,18.645454545454545,38.89454545454545,17.415454545454544
South Africa,2020,21.230833333333333,34.60916666666667,17.671666666666667
South Africa,2021,21.703636363636363,50.97181818181818,17.232727272727274
Spain,2010,9.84483870967742,21.368709677419357,14.578225806451613
Spain,2013,8.303333333333333,17.468840579710143,12.63463768115942
Spain,2014,8.404675324675324,18.002727272727274,13.421558441558442
Spain,2015,9.422025316455697,20.186582278481012,14.648101265822785
Spain,2016,8.371410256410257,17.683205128205127,13.573717948717949
Spain,2017,9.450609756097561,20.25390243902439,13.86829268292683
Spain,2018,8.929647058823528,18.290705882352942,12.837058823529413
Spain,2019,8.822093023255814,19.071976744186045,13.293372093023256
Sweden,2010,7.375,16.89875,18.625
Sweden,2013,6.806666666666666,20.963333333333335,25.113333333333333
Sweden,2014,8.088333333333333,17.79,19.044999999999998
Sweden,2015,6.174444444444444,14.59,17.852222222222224
Sweden,2016,5.693076923076924,12.711538461538462,16.914615384615384
Sweden,2017,5.29,13.892857142857142,17.367857142857144
Sweden,2018,6.75875,16.21625,16.675
Sweden,2019,6.007692307692308,14.713076923076924,16.063076923076924
Switzerland,2011,14.577777777777776,20.177777777777777,27.44888888888889
Switzerland,2012,12.733333333333333,17.944444444444443,26.10888888888889
Switzerland,2013,14.046153846153846,19.002307692307692,27.35
Switzerland,2014,8.977777777777778,14.585555555555556,24.90111111111111
Switzerland,2015,11.447333333333335,17.139333333333333,27.889333333333333
Switzerland,2016,10.223749999999999,14.673125,24.965625
Switzerland,2017,11.481851851851852,16.24074074074074,24.695925925925923
Switzerland,2018,11.253684210526316,15.696315789473685,22.37184210526316
Switzerland,2019,9.298360655737707,13.502295081967214,20.448524590163935
Switzerland,2020,9.013636363636364,13.325454545454544,17.869636363636364
Thailand,2015,27.87,40.68,19.47
Thailand,2019,25.908749999999998,45.69208333333333,20.014583333333334
Trinidad and Tobago,2016,11.9,25.2,13.3
Trinidad and Tobago,2017,14.7,29.8,7.7
Trinidad and Tobago,2018,12.4,29.0,4.8
Trinidad and Tobago,2019,12.65,28.25,12.4
Turkey,2018,23.024375,48.908125,32.09875
Turkey,2019,21.632941176470588,43.85823529411765,32.728529411764704
United Kingdom,2010,12.459375,18.2496875,32.685625
United Kingdom,2013,12.4609375,17.96375,28.6103125
United Kingdom,2014,11.786176470588236,16.548529411764704,26.524705882352944
United Kingdom,2015,9.949714285714286,15.66657142857143,24.65714285714286
United Kingdom,2016,10.34,16.565483870967743,27.98225806451613
United Kingdom,2017,9.039736842105263,14.872105263157895,23.815
United Kingdom,2018,9.735384615384616,16.173076923076923,24.52846153846154
United Kingdom,2019,9.52086956521739,15.817608695652174,23.520000000000003
United States of America,2010,9.510000000000002,23.88764705882353,22.753529411764706
United States of America,2011,9.938333333333334,24.744444444444444,22.031666666666666
United States of America,2012,8.944347826086956,23.460869565217394,19.098695652173912
United States of America,2013,10.081052631578947,25.794210526315787,20.728421052631578
United States of America,2014,10.273478260869565,24.200434782608696,17.878695652173914
United States of America,2015,9.454545454545455,24.67681818181818,16.84090909090909
United States of America,2016,8.366666666666667,21.708000000000002,16.091333333333335
United States of America,2017,9.858823529411765,25.363529411764706,16.961764705882356
United States of America,2018,10.077727272727273,25.21272727272727,14.898181818181818
United States of America,2019,7.855714285714286,22.382380952380952,15.375714285714285
